#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
makeLocusGraph_chromId_000_1_0002		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0002.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:23710137-35565204 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0003		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0003.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:35565205-47420272 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0004		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0004.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:47420273-59275340 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0005		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0005.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:59275341-71130408 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0006		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0006.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:71130409-82985476 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0007		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0007.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:82985477-94840544 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0008		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0008.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:94840545-106695612 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0009		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0009.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:106695613-118550680 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0010		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0010.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:118550681-130405748 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0011		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0011.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:130405749-142260816 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0012		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0012.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:142260817-154115884 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0013		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0013.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:154115885-165970952 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0014		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0014.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:165970953-177826020 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0015		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0015.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:177826021-189681087 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0016		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0016.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:189681088-201536154 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0017		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0017.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:201536155-213391221 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0018		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0018.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:213391222-225246288 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0019		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0019.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:225246289-237101355 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0020		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0020.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:237101356-248956422 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_001_1_KI270706v1_random_0000.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1_KI270706v1_random:1-175055 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
