GraphBuildTime	0.0520h wall, 0.0489h user + 0.0014h system = 0.0503h CPU (96.57%)
GraphMergeTime	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (90.15%)
disjointSubgraphs	2197
nodes	2998
directedEdges	3652
selfEdges	2032
totalGraphEvidence	69330
totalCleaned	39334
highestSearchCount	199
isMaxSearchCount	0
highestSearchDensity	0.186538
isMaxSearchDensity	0

[Sample0]
Source	/home/robin/Documents/Project/Samples/bam/all/17302.bam
MinMapqFiltered	340156	0.0511
NotFiltered	6314370	0.9489
NotFilteredAndIgnored	6109748	0.9181
NotFilteredAndAnomalousPair	201742	0.0303
NotFilteredAndAnomalousPairRemotes	1980	0.0003
NotFilteredAndSplitRead	983	0.0001
NotFilteredAndSplitReadInAnomalousPair	109	0.0000
NotFilteredAndSplitReadSupplementarySegments	493	N/A
NotFilteredAndLargeIndel	805	0.0001
NotFilteredAndSemiAligned	1327	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	2972	0.4881
EvidenceType_cigar	806	0.1324
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1329	0.2183
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	982	0.1613
EvidenceType_unknown	0	0.0000
ClosePairs	887

[Sample5]
Source	/home/robin/Documents/Project/Samples/bam/all/17307.bam
MinMapqFiltered	316268	0.0554
NotFiltered	5390665	0.9446
NotFilteredAndIgnored	5196053	0.9105
NotFilteredAndAnomalousPair	191551	0.0336
NotFilteredAndAnomalousPairRemotes	1664	0.0003
NotFilteredAndSplitRead	999	0.0002
NotFilteredAndSplitReadInAnomalousPair	130	0.0000
NotFilteredAndSplitReadSupplementarySegments	520	N/A
NotFilteredAndLargeIndel	1289	0.0002
NotFilteredAndSemiAligned	1027	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	2520	0.4286
EvidenceType_cigar	1290	0.2194
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1034	0.1759
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	1036	0.1762
EvidenceType_unknown	0	0.0000
ClosePairs	692

NodeRegionSizequantile:
0.25	45
0.5	64
0.75	129
0.9	176
0.95	218
0.99	364
NodeEdgeCount:
0	0
1	2670
2	252
3	35
4	12
5	8
6	1
7	4
8	2
9+	14
NodeObservationCount:
0	306
1	0
2	0
3	0
4	0
5	0
6	1338
7	0
8	1
9	374
10	2
11	0
12	360
13	2
14	0
15	125
16	0
17	0
18	133
19	0
20	1
21	49
22	0
23	0
24	58
25	0
26	0
27	37
28	0
29+	212
